gene	case1	case2	case3	case4	case5	case6	case7	control1	control2	control3	control4	control5	control6	control7
Plxna4	3	2	5	11	3	8	6	3	9	6	5	5	5	3
Plxnb1	3	3	7	6	1	1	8	2	0	11	11	5	5	5
Plxnb2	7	11	8	8	6	6	7	3	3	3	3	7	5	4
Plxnb3	1	7	1	0	0	0	3	0	2	1	1	3	2	0
Plxnc1	4	5	6	7	2	3	2	4	7	6	9	8	7	8
Plxnd1	3	3	2	1	1	2	4	18	33	14	22	15	21	10
Pm20d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pm20d2	2	0	1	1	0	1	1	1	1	2	0	0	3	1
Pmaip1	1	2	0	0	1	2	1	0	0	0	0	0	0	0
Pmch	1	1	3	1	1	3	1	5	3	7	13	2	7	5
Pmel	48	51	46	51	38	52	43	24	27	25	21	18	26	16
Pmepa1	2	0	0	0	0	2	1	8	7	6	6	2	9	7
Pmf1	1	0	0	0	0	0	1	0	0	0	1	0	0	0
Pmfbp1	0	2	0	0	0	1	0	0	1	1	0	1	0	2
Pml	1	0	1	0	0	1	0	0	3	0	3	1	0	0
Pmm1	87	116	94	61	93	80	119	15	30	27	25	17	36	21
Pmm2	12	9	12	4	8	14	8	9	11	18	13	12	17	15
Pmp2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pmp22	4	4	9	3	4	7	6	2	3	0	5	1	1	3
Pmpca	385	448	410	425	396	407	384	145	183	177	166	158	171	140
Pmpcb	7	3	8	6	1	7	2	4	6	3	4	3	4	1
Pms1	2	2	4	2	3	1	2	0	1	2	0	1	1	0
Pms2	1	0	1	1	3	0	3	1	1	0	0	0	0	0
Pmvk	2	2	4	2	3	5	1	2	0	0	2	1	1	1
Pnck	2	2	1	2	0	0	2	2	1	2	3	0	2	1
Pnkd	9	10	10	11	5	7	12	7	11	8	7	8	9	12
Pnkp	5	0	2	1	0	2	2	1	1	0	2	1	1	0
Pnldc1	4	1	1	0	0	2	0	0	1	1	0	1	1	2
Pnlip	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Pnliprp1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnliprp2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Pnma1	92	72	95	58	97	98	149	33	38	46	54	37	56	69
Pnma2	1	1	1	1	0	0	0	2	5	4	4	1	2	3
Pnma3	2	1	0	0	1	0	0	1	2	4	2	0	3	0
Pnma5	0	2	1	3	3	0	0	2	0	2	2	3	0	2
Pnmal1	3	3	1	2	0	0	2	1	2	3	5	1	1	3
Pnmal2	77	67	43	62	40	46	41	46	91	92	90	94	61	64
Pnmt	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Pnn	35	38	39	36	29	33	36	14	24	36	33	17	19	32
Pno1	5	9	9	5	3	1	3	1	1	2	4	5	2	1
Pnoc	2	3	2	3	1	1	0	1	0	0	0	1	0	0
Pnp	1	1	1	3	0	3	0	0	2	1	1	1	1	0
Pnp2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnpla1	2	0	0	1	0	1	0	4	12	10	15	9	14	7
Pnpla2	1	0	2	3	0	2	2	0	0	2	0	0	1	0
Pnpla3	0	2	1	0	0	1	2	0	1	1	0	0	1	0
Pnpla5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pnpla6	13	6	9	8	6	6	6	8	6	7	5	8	5	7
Pnpla7	2	0	1	1	1	0	0	0	0	0	0	0	0	0
Pnpla8	7	4	8	2	3	1	5	6	8	5	5	6	4	5
Pnpo	1	1	7	0	5	4	2	0	2	3	2	1	1	0
Pnpt1	12	19	29	16	29	20	19	8	13	13	9	12	13	12
Pnrc1	16	20	16	32	14	12	18	16	23	31	23	13	18	17
Pnrc2	21	34	25	19	23	26	37	21	34	29	42	24	28	44
Poc1a	1	0	0	0	0	1	0	0	0	0	1	0	1	1
Poc1b	12	23	11	15	20	20	23	8	11	7	11	9	14	3
Poc5	4	3	5	1	2	2	2	4	7	1	3	1	2	6
Podn	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Podnl1	7	3	5	4	8	7	10	0	4	3	2	1	4	4
Podxl	2	1	0	2	0	2	2	0	1	2	1	0	0	2
Podxl2	38	36	48	50	45	56	38	18	25	22	23	15	23	24
Pof1b	34	48	64	37	35	23	46	14	26	21	21	18	29	13
Pofut1	1	2	5	1	5	1	1	1	3	1	1	1	2	2
Pofut2	2	1	3	1	1	1	0	0	1	0	1	0	2	1
Pogk	15	16	20	14	16	16	21	15	16	13	25	18	16	11
Poglut1	23	31	37	24	15	15	14	21	13	17	22	3	13	8
Pogz	79	116	89	66	77	93	116	19	39	32	26	28	31	26
Pola1	3	0	2	2	0	0	0	2	2	1	0	1	1	0
Pola2	3	8	6	5	4	4	4	1	2	1	2	0	3	3
Polb	3	9	2	4	1	2	3	0	1	1	2	2	4	1
Pold1	3	6	3	3	2	3	2	2	1	1	0	0	0	1
Pold2	2	1	4	3	3	0	10	1	0	0	1	2	0	1
Pold3	1	2	1	1	2	0	0	1	1	0	1	1	0	2
Pold4	3	1	1	2	4	3	1	4	3	1	1	1	2	0
Poldip2	6	7	6	7	6	6	6	1	3	1	3	1	1	4
Poldip3	0	3	0	2	5	3	2	3	2	1	2	1	1	1
Pole	0	1	0	0	0	0	0	0	0	2	0	1	0	0
Pole2	13	3	11	5	4	13	5	3	12	8	8	8	13	8
Pole3	10	8	9	12	10	12	11	5	7	6	6	4	7	4
Pole4	5	0	3	1	3	3	0	1	2	3	1	0	0	2
Polg	5	7	13	9	4	7	7	6	4	7	12	5	7	6
Polg2	0	0	1	0	0	1	0	1	0	0	0	0	0	0
Polh	0	0	0	0	0	1	3	0	0	0	0	0	1	0
Poli	3	1	0	1	1	1	2	0	2	0	1	0	1	2
Polk	2	1	5	2	1	1	0	0	1	2	2	0	2	1
Poll	0	0	3	0	0	0	0	0	0	0	1	1	0	0
Polm	5	17	14	11	15	16	11	5	5	7	8	2	11	7
Poln	1	1	0	1	2	0	2	1	0	0	1	0	2	0
Polq	185	292	280	205	187	221	266	122	191	247	194	165	183	141
Polr1a	0	2	1	0	1	2	0	0	3	0	1	1	0	5
Polr1b	1	0	0	3	1	1	0	1	2	2	1	0	0	3
Polr1c	8	6	6	7	4	8	8	10	10	10	3	2	10	7
Polr1d	5	5	9	14	6	7	6	2	7	6	15	6	5	5
Polr1e	1	1	1	0	1	1	2	0	0	1	1	0	0	0
Polr2a	3	4	6	0	4	9	4	0	4	1	3	3	4	2
Polr2b	124	134	100	124	92	90	93	77	119	107	118	82	112	66
Polr2c	96	111	96	134	63	115	97	233	255	237	335	215	309	212
Polr2d	1	0	0	1	1	0	0	0	0	0	0	0	0	0
Polr2e	2	3	3	2	3	3	2	3	1	0	6	0	2	2
Polr2f	3	3	4	2	1	6	6	1	1	4	0	1	4	6
Polr2g	0	0	0	1	0	0	2	0	0	0	2	0	3	0
Polr2h	3	4	1	3	1	0	0	1	0	1	1	0	0	5
Polr2i	69	63	75	73	57	52	68	49	91	63	96	64	58	50
Polr2j	26	17	24	21	37	37	35	14	14	13	20	30	34	17
Polr2k	0	3	3	2	2	2	3	0	2	0	3	0	1	0
Polr2l	11	15	12	9	10	14	18	4	7	8	6	4	10	5
Polr2m	9	6	11	7	6	8	7	3	11	5	10	6	8	7
Polr3a	1	3	2	4	1	1	3	3	1	2	1	2	3	1
Polr3b	7	3	6	4	4	5	1	2	2	1	4	2	1	1
Polr3c	0	1	1	0	4	3	2	0	0	0	1	0	0	1
Polr3d	4	1	2	4	2	2	4	0	4	2	3	4	1	4
Polr3e	2	1	1	1	2	1	1	1	3	1	4	2	1	1
Polr3f	14	36	26	21	22	22	31	3	8	18	14	11	9	14
Polr3g	3	3	4	0	2	0	1	1	1	0	3	1	1	1
Polr3gl	11	5	10	2	8	12	6	0	2	1	2	2	2	4
Polr3h	872	967	1053	980	828	1283	1117	655	952	915	899	826	1043	813
Polr3k	6	8	3	7	3	2	4	2	5	2	4	1	2	3
Polrmt	2	1	4	2	1	1	5	3	1	1	0	0	4	0
Pom121	225	283	262	252	188	253	303	121	115	130	108	119	127	107
Pom121l12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pom121l2	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Pomc	0	3	0	2	1	0	0	2	4	3	5	0	5	6
Pomgnt1	7	4	7	12	5	10	4	2	2	2	6	1	1	0
Pomp	10	13	15	15	22	17	18	1	1	1	1	2	2	2
Pomt1	3	2	6	6	8	3	3	1	5	0	2	1	3	3
Pomt2	63	67	97	82	71	91	81	65	127	84	87	76	116	85
Pon1	0	0	1	0	0	0	0	0	0	0	1	2	1	0
Pon2	0	4	2	2	0	1	1	3	0	0	4	1	2	3
Pon3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pop1	0	1	0	0	1	1	1	0	1	0	0	1	0	0
Pop4	0	0	0	1	0	1	1	0	0	0	0	0	0	1
Pop5	8	16	7	12	4	6	2	11	17	15	20	2	6	3
Pop7	9	5	6	5	12	15	10	10	5	6	9	6	15	7
Popdc2	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Popdc3	1	0	0	0	0	0	1	0	0	0	0	0	1	2
Por	7	3	0	7	3	4	1	1	4	9	3	6	3	5
Porcn	31	26	25	30	21	19	30	2	0	0	5	2	0	1
Postn	1	0	1	0	0	0	0	0	1	1	1	0	0	0
Pot1a	1	1	0	0	0	0	1	0	2	0	0	0	1	0
Pot1b	6	4	6	4	3	3	1	1	0	3	1	1	6	1
Poteg	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou1f1	2	1	0	1	1	1	0	0	0	0	0	0	0	0
Pou2af1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou2f1	13	5	3	7	5	2	9	1	2	2	4	2	6	1
Pou2f2	108	67	68	90	77	91	87	9	11	9	2	10	8	5
Pou2f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou3f1	0	1	0	0	0	0	1	12	25	22	29	23	24	25
Pou3f2	21	24	30	30	16	25	33	8	27	19	13	21	25	17
Pou3f3	21	21	24	26	19	23	28	33	52	55	66	34	67	40
Pou3f4	1	0	0	1	1	0	0	6	18	12	16	2	13	11
Pou4f1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Pou4f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou4f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou5f1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou5f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pou6f1	2	1	4	5	1	3	3	1	12	3	2	7	6	2
Pou6f2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ppa1	4	1	5	4	2	2	8	1	2	4	2	4	0	2
Ppa2	21	32	36	23	19	13	18	10	13	23	19	10	18	16
Ppan	3	3	4	6	2	5	2	0	3	2	2	2	2	5
Ppap2a	63	51	49	37	42	40	56	21	24	20	22	21	17	22
Ppap2b	15	15	11	13	8	16	10	5	15	14	12	13	8	5
Ppap2c	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppapdc1a	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Ppapdc1b	8	9	14	8	3	5	11	6	6	3	6	2	6	4
Ppapdc2	11	10	7	18	13	8	23	4	12	15	20	11	15	10
Ppapdc3	2	1	1	3	3	1	0	0	1	1	1	2	0	2
Ppara	6	1	1	2	2	2	1	4	4	8	10	2	6	4
Ppard	1	2	0	1	2	1	6	0	6	0	7	3	6	4
Pparg	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppargc1a	3	1	2	1	2	6	2	0	3	1	3	3	1	2
Ppargc1b	12	21	14	15	12	9	20	3	9	2	6	8	6	5
Ppat	44	48	76	61	64	62	57	30	29	32	37	19	33	24
Ppbp	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppcdc	0	0	0	0	1	1	0	0	0	0	1	0	1	0
Ppcs	1	1	1	1	0	1	0	0	0	1	1	0	2	0
Ppdpf	13	9	13	9	9	11	8	4	7	8	6	9	6	2
Ppef1	0	1	0	1	0	0	0	0	0	0	0	0	0	0
Ppef2	1	0	0	0	1	0	1	4	9	11	19	4	16	12
Ppfia1	10	7	2	6	6	7	9	1	2	0	4	1	2	1
Ppfia2	8	8	18	17	13	13	18	15	12	14	14	5	13	11
Ppfia3	21	18	26	20	16	18	23	6	20	10	12	15	14	11
Ppfia4	28	23	19	31	22	16	20	3	8	5	8	5	5	5
Ppfibp1	1	1	1	0	0	1	2	1	1	1	1	0	2	1
Ppfibp2	1	1	7	0	0	1	1	2	0	1	1	2	1	0
Pphln1	0	0	4	2	0	1	1	0	2	4	3	2	3	0
Ppia	7	8	10	8	6	11	4	4	10	9	19	11	14	6
Ppib	85	91	96	83	80	89	98	63	79	87	77	74	120	79
Ppic	0	0	2	0	0	1	2	1	0	0	0	0	0	0
Ppid	1	4	2	9	5	7	4	0	8	3	10	7	3	5
Ppie	1	1	1	0	0	1	1	0	0	2	4	1	0	2
Ppif	1	0	3	0	3	1	3	1	0	2	0	1	5	0
Ppifos	344	365	401	363	313	345	400	269	368	364	381	287	415	306
Ppig	64	45	49	54	37	48	50	24	32	40	44	26	42	33
Ppih	10	6	11	19	13	18	7	4	9	13	11	13	11	9
Ppil1	0	2	2	4	1	0	0	2	7	10	5	7	8	7
Ppil2	32	24	29	32	26	32	23	56	93	76	70	47	57	46
Ppil3	19	18	32	22	14	18	23	22	27	15	34	11	25	23
Ppil4	13	7	11	10	7	10	9	5	4	8	10	5	9	3
Ppil6	2	3	2	1	1	3	1	0	1	2	1	1	0	0
Ppip5k1	214	243	225	200	148	177	206	174	165	200	154	143	185	174
Ppip5k2	4	1	4	4	4	3	0	4	4	3	1	6	4	3
Ppl	1	1	2	0	0	2	0	0	1	1	0	0	0	1
Ppm1a	9	9	15	12	10	16	14	7	19	13	18	17	18	16
Ppm1b	47	28	36	38	22	32	41	10	20	11	29	9	23	11
Ppm1d	2	5	6	8	3	8	3	2	2	2	4	2	2	0
Ppm1e	21	35	28	27	21	21	22	24	44	48	50	24	28	30
Ppm1f	9	4	7	2	10	5	4	3	3	7	12	6	9	3
Ppm1g	36	16	26	31	32	19	26	13	11	17	17	11	20	14
Ppm1h	36	25	36	32	39	41	30	9	19	15	17	10	14	15
Ppm1j	1	1	1	1	2	3	4	0	0	0	0	0	0	1
Ppm1k	18	17	23	16	12	9	11	10	19	19	14	8	7	9
Ppm1l	22	15	15	21	15	15	13	8	5	8	15	3	8	3
Ppm1m	1	0	0	4	1	2	0	0	0	1	1	0	0	0
Ppm1n	2	1	1	1	1	0	0	0	0	0	0	0	2	0
Ppme1	23	16	13	22	18	15	10	8	23	13	21	11	17	10
Ppnr	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppox	0	0	1	0	0	0	1	0	1	0	1	2	0	0
Ppp1ca	113	129	112	98	100	122	115	51	79	74	79	71	72	53
Ppp1cb	27	35	18	33	30	20	31	23	9	16	42	20	37	19
Ppp1cc	20	10	11	15	9	9	11	5	10	11	16	7	6	10
Ppp1r10	4	7	10	10	3	4	6	1	1	7	6	5	5	1
Ppp1r11	21	21	12	20	8	18	21	7	9	10	18	12	11	7
Ppp1r12a	18	5	14	15	13	13	9	7	23	12	13	10	13	12
Ppp1r12b	1	1	3	4	3	5	2	1	4	5	6	8	6	1
Ppp1r12c	18	17	20	21	13	17	24	16	19	30	30	12	15	14
Ppp1r13b	54	39	41	35	35	22	29	24	31	36	34	20	21	19
Ppp1r13l	0	0	0	0	0	0	0	0	0	1	2	0	1	1
Ppp1r14a	0	1	3	1	3	2	3	1	1	1	2	4	3	1
Ppp1r14b	2	1	8	9	6	30	21	5	2	5	7	5	25	6
Ppp1r14c	3	2	3	5	1	2	3	3	5	2	1	2	2	4
Ppp1r14d	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r15a	3	1	2	2	1	2	2	1	1	0	0	0	3	2
Ppp1r15b	8	7	4	8	7	6	8	8	4	7	8	5	4	4
Ppp1r16a	3	3	4	3	0	3	2	2	6	4	6	4	3	5
Ppp1r16b	18	15	21	23	22	22	10	9	16	10	20	16	23	8
Ppp1r17	35	22	15	22	18	22	23	0	0	0	0	1	0	0
Ppp1r18	31	29	25	27	22	36	29	21	21	21	17	9	15	14
Ppp1r1a	2	6	4	5	6	6	6	67	70	69	99	59	77	81
Ppp1r1b	16	18	20	18	20	28	14	78	147	145	216	126	156	160
Ppp1r1c	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Ppp1r2	20	21	24	18	23	35	15	26	56	56	66	40	57	36
Ppp1r2-ps2	0	1	1	0	1	0	0	0	1	1	0	0	4	0
Ppp1r2-ps3	0	0	2	0	0	0	0	0	0	0	0	1	0	0
Ppp1r2-ps7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r2-ps9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r26	2	4	8	6	7	6	3	9	12	10	7	5	15	8
Ppp1r27	0	0	2	0	0	0	0	0	0	0	3	2	0	2
Ppp1r32	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Ppp1r35	2	3	2	3	5	2	4	3	4	1	3	6	5	3
Ppp1r36	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r37	34	18	25	26	29	36	25	19	22	13	23	23	18	26
Ppp1r3a	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp1r3b	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Ppp1r3c	7	3	3	2	5	7	6	3	3	4	5	2	4	3
Ppp1r3d	19	14	21	17	11	19	10	11	16	13	12	9	18	17
Ppp1r3e	13	22	15	22	12	10	7	4	8	4	5	5	1	0
Ppp1r3f	0	3	4	1	2	3	2	2	4	6	5	3	10	11
Ppp1r3g	4	11	9	8	4	11	12	10	20	10	14	7	22	17
Ppp1r42	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Ppp1r7	8	5	2	4	5	1	2	3	2	3	9	4	9	7
Ppp1r8	2	3	2	3	0	1	3	1	1	4	4	0	1	3
Ppp1r9a	7	10	14	10	14	9	9	14	37	30	65	23	46	31
Ppp1r9b	112	81	109	109	81	110	90	143	266	204	303	221	241	214
Ppp2ca	97	87	111	102	79	118	124	59	92	94	110	74	97	53
Ppp2cb	98	117	111	105	107	83	113	70	108	104	90	90	90	58
Ppp2r1a	7	5	4	9	11	7	8	5	12	4	8	7	12	2
Ppp2r1b	896	959	821	875	767	723	870	853	1049	1000	1287	770	1333	952
Ppp2r2a	61	54	54	55	53	54	62	18	34	20	35	24	32	26
Ppp2r2b	3	3	0	3	2	3	2	5	7	7	17	4	8	3
Ppp2r2c	37	36	31	32	31	33	33	33	35	42	50	29	34	39
Ppp2r2d	11	19	21	14	13	18	20	11	12	8	12	6	16	13
Ppp2r3a	39	48	36	39	38	38	48	22	21	16	25	22	21	18
Ppp2r3c	30	32	25	13	17	21	21	23	27	16	25	12	27	21
Ppp2r3d	8	9	22	9	12	11	6	3	3	4	4	1	1	3
Ppp2r4	7	8	12	10	6	4	4	3	5	8	9	6	2	3
Ppp2r5a	256	257	231	219	189	178	240	70	100	77	82	58	108	60
Ppp2r5b	11	8	10	13	7	11	10	4	12	9	9	6	2	6
Ppp2r5c	23	13	12	19	14	13	15	18	23	24	29	18	26	24
Ppp2r5d	854	871	719	877	505	569	662	697	837	666	815	518	562	452
Ppp2r5e	6	3	9	11	14	9	6	5	10	11	13	8	9	3
Ppp3ca	116	107	81	83	82	67	99	113	175	163	260	155	186	169
Ppp3cb	24	12	24	25	23	24	40	17	31	17	36	14	29	22
Ppp3cc	4	8	4	4	3	3	5	5	1	5	9	2	6	2
Ppp3r1	70	55	52	68	59	49	41	101	126	79	197	99	131	116
Ppp3r2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppp4c	15	6	13	7	10	9	13	3	3	1	5	3	4	5
Ppp4r1	31	15	30	21	17	18	17	11	8	14	12	12	14	12
Ppp4r1l-ps	0	0	0	0	1	0	1	0	0	0	0	0	0	0
Ppp4r2	29	15	28	22	23	26	20	9	18	24	34	15	25	11
Ppp4r4	2	1	0	1	1	0	1	3	4	1	3	0	2	4
Ppp5c	5	9	8	9	6	6	7	6	7	6	11	4	3	2
Ppp6c	10	10	14	16	8	10	11	25	23	23	18	12	15	21
Ppp6r1	16	23	18	18	14	22	17	14	21	25	32	20	23	19
Ppp6r2	83	66	61	72	77	79	80	13	19	29	23	16	33	25
Ppp6r3	6	6	5	3	4	3	8	4	1	7	5	2	6	1
Pppde1	2	1	6	1	0	1	3	0	2	2	3	3	2	0
Pppde2	4	6	9	6	9	9	14	1	5	7	5	4	3	2
Pprc1	1	5	0	0	2	0	0	2	2	2	0	0	1	0
Ppt1	85	89	97	82	95	107	80	145	214	181	281	175	236	161
Ppt2	7	9	5	4	10	5	4	14	10	8	9	6	10	9
Pptc7	46	65	57	52	35	51	49	48	44	69	59	42	47	46
Ppwd1	4	4	5	3	2	5	6	1	4	3	4	5	8	4
Ppy	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ppyr1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pqbp1	38	27	52	42	37	52	42	33	40	39	51	36	36	29
Pqlc1	12	13	22	11	10	10	11	27	49	46	54	24	33	31
Pqlc2	4	0	2	3	1	1	4	0	1	1	2	1	0	0
Pqlc3	202	248	233	233	188	226	309	74	74	86	79	78	86	91
Praf2	1	1	0	1	1	1	1	0	0	0	2	1	1	0
Pram1	178	161	159	182	125	123	196	37	70	77	87	38	81	73
Prame	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Pramef12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramef17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramef6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramef8	2	2	3	1	4	4	2	1	0	1	0	1	1	1
Pramel	117	145	110	125	113	115	133	177	228	219	256	154	214	165
Pramel1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel5	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Pramel6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pramel7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prap1	23	14	18	14	22	16	23	13	12	11	24	11	21	11
Prb1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prc1	11	14	12	10	6	6	11	5	5	7	5	3	5	3
Prcc	2	2	1	2	2	2	4	1	7	1	3	1	2	2
Prcp	1	1	2	1	0	1	1	1	3	2	0	0	0	0
Prdm1	1	0	2	1	1	1	0	1	0	5	1	1	1	1
Prdm10	0	2	1	0	1	0	2	0	0	0	3	2	1	2
Prdm11	2	1	2	1	2	2	4	7	2	3	7	0	2	1
Prdm12	0	0	0	1	0	0	0	1	2	3	1	0	1	1
Prdm13	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm15	3	0	2	4	4	3	2	11	10	10	17	2	17	12
Prdm16	8	7	7	7	2	7	0	7	9	6	24	10	24	13
Prdm2	9	11	20	9	9	12	11	7	18	15	12	8	7	9
Prdm4	1	10	8	1	1	7	8	6	10	5	6	2	7	2
Prdm5	3	1	2	0	0	1	3	1	1	4	2	0	1	0
Prdm6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm8	52	73	84	74	45	56	66	8	15	7	10	6	13	14
Prdm9	0	3	0	1	0	0	2	0	0	2	1	1	1	0
Prdx1	11	10	11	6	12	6	15	4	4	3	12	2	9	11
Prdx2	16	10	11	7	11	11	11	9	8	9	10	11	13	9
Prdx3	0	1	0	0	0	0	1	0	1	1	0	0	1	1
Prdx4	17	9	10	5	11	15	10	5	2	2	3	4	9	1
Prdx5	9	3	14	9	12	3	6	1	5	6	5	4	5	7
Prdx6	6	4	7	3	6	1	5	2	0	1	3	5	4	5
Prdx6b	0	0	0	0	0	1	0	0	1	0	0	0	0	0
Preb	852	778	783	753	690	498	826	491	577	577	620	436	463	368
Prelid1	14	10	20	13	12	8	12	15	15	21	23	18	31	37
Prelid2	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Prelp	0	0	0	3	1	0	1	1	3	4	4	4	1	3
Prep	4	1	0	2	3	3	1	2	5	0	0	3	0	5
Prepl	30	29	38	33	36	50	68	6	12	18	22	7	11	16
Prex1	7	3	3	8	8	6	9	2	7	9	8	9	4	10
Prex2	13	15	33	34	11	31	21	5	30	27	18	20	26	28
Prf1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Prg2	0	0	0	0	1	1	0	0	0	0	0	0	0	0
Prg3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prg4	301	380	353	262	282	333	336	258	249	304	302	222	260	233
Prh1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prhoxnb	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prickle1	1	1	0	1	2	3	1	0	3	3	3	2	2	0
Prickle2	1	1	4	2	1	1	5	4	18	9	28	13	7	10
Prickle3	31	29	34	37	21	36	41	46	40	44	52	29	42	29
Prickle4	102	117	113	111	100	97	123	36	68	62	57	70	44	35
Prim1	1	0	3	2	4	2	5	1	1	2	0	1	1	0
Prim2	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Prima1	0	0	0	0	0	0	0	3	2	0	0	2	2	1
Prkaa1	32	47	48	38	49	37	41	15	24	25	31	12	20	18
Prkaa2	2	0	1	1	0	1	2	0	2	5	0	0	2	1
Prkab1	2	1	0	0	2	2	1	1	2	2	2	3	3	2
Prkab2	0	1	1	1	1	1	3	1	2	2	0	0	1	1
Prkaca	15	5	13	16	17	18	14	3	10	16	12	14	12	9
Prkacb	17	12	8	6	9	9	16	11	13	18	25	16	9	13
Prkag1	4	4	6	4	1	2	4	163	158	172	176	123	200	148
Prkag2	10	6	12	16	23	18	32	6	12	17	17	7	15	13
Prkag3	1	4	8	4	4	3	3	2	0	5	1	0	0	0
Prkar1a	35	26	26	28	24	38	44	11	24	24	52	15	25	29
Prkar1b	17	7	8	6	8	8	8	12	14	10	25	12	11	7
Prkar2a	4	10	5	10	7	7	3	0	7	9	8	7	12	8
Prkar2b	0	3	9	4	2	4	5	3	11	12	16	3	12	9
Prkca	4	3	2	5	3	4	2	1	5	8	13	4	13	7
Prkcb	47	32	31	19	29	26	26	40	72	59	124	65	90	80
Prkcc	22	18	20	18	22	20	13	7	14	12	12	10	9	7
Prkcd	2	5	2	4	5	4	3	1	1	1	3	2	1	1
Prkcdbp	1	1	4	7	1	2	1	0	1	1	1	0	1	1
Prkce	22	17	14	14	23	18	18	18	17	15	22	7	12	15
Prkch	2	3	0	1	1	2	3	8	8	9	5	8	13	9
Prkci	6	5	6	4	3	3	4	8	5	6	20	5	4	6
Prkcq	1	0	0	0	1	0	3	0	1	0	1	0	2	0
Prkcsh	11	16	12	14	10	22	19	10	13	16	26	7	12	15
Prkcz	43	30	38	40	31	37	32	16	34	32	32	18	24	29
Prkd1	1	0	0	3	4	0	4	3	4	5	8	2	6	4
Prkd2	11	7	10	6	8	6	8	9	15	14	13	11	13	9
Prkd3	47	53	59	55	44	50	60	25	39	28	41	22	28	39
Prkdc	0	0	0	0	1	1	1	0	0	1	1	1	3	0
Prkg1	14	13	14	16	17	14	8	0	3	1	5	2	5	1
Prkg2	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Prkra	2	1	1	2	0	0	1	0	0	0	0	0	0	0
Prkrip1	0	0	3	1	3	0	4	0	2	1	0	2	1	3
Prkrir	6	4	6	8	5	3	5	1	3	1	5	3	3	3
